from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,model_path,best_valid_exact_match
bert-base-cased,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,5e-05,8,2,constant_with_warmup,998,,10,../runs/finetune/gridsearch/contract_nli/bert-base-cased/lr5e-05_constant_with_warmup_adamw_wd1e-03_998_mem10/run_1,40.75144577026367
bert-base-cased,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,5e-05,8,2,constant_with_warmup,998,,10,../runs/finetune/gridsearch/contract_nli/bert-base-cased/lr5e-05_constant_with_warmup_adamw_wd1e-03_998_mem10/run_1,71.57996368408203
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,5e-05,8,2,constant_with_warmup,998,,10,../runs/finetune/gridsearch/contract_nli/bert-base-cased/lr5e-05_constant_with_warmup_adamw_wd1e-03_998_mem10/run_2,71.38728332519531
bert-base-cased,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,5e-05,8,2,linear,998,,10,../runs/finetune/gridsearch/contract_nli/bert-base-cased/lr5e-05_linear_adamw_wd1e-03_998_mem10/run_1,71.0019302368164
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,5e-05,8,2,linear,998,,10,../runs/finetune/gridsearch/contract_nli/bert-base-cased/lr5e-05_linear_adamw_wd1e-03_998_mem10/run_2,72.44701385498047
bert-base-cased,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,0.0001,8,2,constant_with_warmup,998,,10,../runs/finetune/gridsearch/contract_nli/bert-base-cased/lr1e-04_constant_with_warmup_adamw_wd1e-03_998_mem10/run_1,54.72061538696289
bert-base-cased,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,0.0001,8,2,linear,998,,10,../runs/finetune/gridsearch/contract_nli/bert-base-cased/lr1e-04_linear_adamw_wd1e-03_998_mem10/run_1,59.73025131225586
bert-base-cased,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,constant_with_warmup,998,,10,../runs/finetune/gridsearch/contract_nli/bert-base-cased/lr1e-05_constant_with_warmup_adamw_wd1e-03_998_mem10/run_1,72.63969421386719
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,constant_with_warmup,998,,10,../runs/finetune/gridsearch/contract_nli/bert-base-cased/lr1e-05_constant_with_warmup_adamw_wd1e-03_998_mem10/run_2,73.3140640258789
bert-base-cased,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,998,,10,../runs/finetune/gridsearch/contract_nli/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_998_mem10/run_1,71.38728332519531
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,998,,10,../runs/finetune/gridsearch/contract_nli/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_998_mem10/run_2,71.38728332519531
bert-base-cased,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,5e-05,8,2,constant_with_warmup,1497,,10,../runs/finetune/gridsearch/contract_nli/bert-base-cased/lr5e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10/run_1,57.61079025268555
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,5e-05,8,2,constant_with_warmup,1497,,10,../runs/finetune/gridsearch/contract_nli/bert-base-cased/lr5e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10/run_2,57.03275680541992
