from_pretrained,input_seg_size,input_seq_len,num_mem_tokens,lr,lr_scheduler,double_segment,best_valid_exact_match,std,n_runs,runs
bert-base-cased,512.0,918,50,1e-05,constant_with_warmup,False,72.73603057861328,,1,[72.74]
bert-base-cased,512.0,918,50,1e-05,linear,False,71.38728332519531,,1,[71.39]
bert-base-cased,512.0,918,50,5e-05,constant_with_warmup,False,57.51445007324219,,1,[57.51]
bert-base-cased,512.0,918,50,5e-05,linear,False,68.40077209472656,,1,[68.4]
bert-base-cased,512.0,968,25,1e-05,constant_with_warmup,False,72.15799713134766,,1,[72.16]
bert-base-cased,512.0,968,25,1e-05,linear,False,74.08477783203125,,1,[74.08]
bert-base-cased,512.0,968,25,5e-05,constant_with_warmup,False,71.96531677246094,,1,[71.97]
bert-base-cased,512.0,968,25,5e-05,linear,False,71.67630004882812,,1,[71.68]
bert-base-cased,512.0,998,10,1e-05,constant_with_warmup,False,72.59355926513672,0.7446448777393284,3,"[71.83, 72.64, 73.31]"
bert-base-cased,512.0,998,10,1e-05,linear,False,71.6620356241862,0.47588494134856973,3,"[72.21, 71.39, 71.39]"
bert-base-cased,512.0,998,10,5e-05,constant_with_warmup,False,71.6621602376302,0.32389431186276063,3,"[72.02, 71.58, 71.39]"
bert-base-cased,512.0,998,10,5e-05,linear,False,71.79067484537761,0.7315839650020827,3,"[71.92, 71.0, 72.45]"
bert-base-cased,512.0,998,10,0.0001,constant_with_warmup,False,54.72061538696289,,1,[54.72]
bert-base-cased,512.0,998,10,0.0001,linear,False,59.73025131225586,,1,[59.73]
bert-base-cased,512.0,1377,50,1e-05,constant_with_warmup,False,71.38728332519531,,1,[71.39]
bert-base-cased,512.0,1377,50,1e-05,linear,False,72.15799713134766,,1,[72.16]
bert-base-cased,512.0,1377,50,5e-05,constant_with_warmup,False,57.03275680541992,,1,[57.03]
bert-base-cased,512.0,1377,50,5e-05,linear,False,65.60693359375,,1,[65.61]
bert-base-cased,512.0,1452,25,1e-05,constant_with_warmup,False,71.67630004882812,,1,[71.68]
bert-base-cased,512.0,1452,25,1e-05,linear,False,72.35067749023438,,1,[72.35]
bert-base-cased,512.0,1452,25,5e-05,constant_with_warmup,False,65.125244140625,,1,[65.13]
bert-base-cased,512.0,1452,25,5e-05,linear,False,57.803466796875,,1,[57.8]
bert-base-cased,512.0,1497,10,1e-05,constant_with_warmup,False,68.06358337402344,4.564181354632412,2,"[64.84, 71.29]"
bert-base-cased,512.0,1497,10,1e-05,linear,False,73.41040802001953,,1,[73.41]
bert-base-cased,512.0,1497,10,5e-05,constant_with_warmup,False,57.321773529052734,0.40873137031416007,2,"[57.61, 57.03]"
bert-base-cased,512.0,1497,10,5e-05,linear,False,57.321773529052734,0.40873137031416007,2,"[57.61, 57.03]"
bert-base-cased,512.0,1497,10,0.0001,constant_with_warmup,False,54.81695556640625,,1,[54.82]
bert-base-cased,512.0,1497,10,0.0001,linear,False,50.09634017944336,,1,[50.1]
bert-base-cased,512.0,1836,50,1e-05,constant_with_warmup,False,71.77263641357422,,1,[71.77]
bert-base-cased,512.0,1836,50,1e-05,linear,False,71.0019302368164,,1,[71.0]
bert-base-cased,512.0,1836,50,5e-05,constant_with_warmup,False,55.973026275634766,,1,[55.97]
bert-base-cased,512.0,1836,50,5e-05,linear,False,72.73603057861328,,1,[72.74]
bert-base-cased,512.0,1936,25,1e-05,constant_with_warmup,False,70.71290588378906,,1,[70.71]
bert-base-cased,512.0,1936,25,1e-05,linear,False,69.55683898925781,,1,[69.56]
bert-base-cased,512.0,1936,25,5e-05,constant_with_warmup,False,56.06936264038086,,1,[56.07]
bert-base-cased,512.0,1936,25,5e-05,linear,False,55.491329193115234,,1,[55.49]
bert-base-cased,512.0,1996,10,1e-05,constant_with_warmup,False,57.08092498779297,1.2943196025259132,2,"[58.0, 56.17]"
bert-base-cased,512.0,1996,10,1e-05,linear,False,58.574180603027344,,1,[58.57]
bert-base-cased,512.0,1996,10,5e-05,constant_with_warmup,False,56.31021308898926,0.4768541644992883,2,"[56.65, 55.97]"
bert-base-cased,512.0,1996,10,5e-05,linear,False,56.11753463745117,0.3406112735273365,2,"[56.36, 55.88]"
facebook/bart-base,512.0,1002,10,1e-05,constant_with_warmup,False,71.77885055541992,0.6118616470476888,2,"[71.35, 72.21]"
facebook/bart-base,512.0,1002,10,1e-05,linear,False,70.19229888916016,0.4079976779752824,2,"[70.48, 69.9]"
facebook/bart-base,512.0,1002,10,5e-05,constant_with_warmup,False,71.44229888916016,1.4958152558867952,2,"[72.5, 70.38]"
facebook/bart-base,512.0,1002,10,5e-05,linear,False,66.05769920349121,10.87855611227609,2,"[58.37, 73.75]"
facebook/bart-base,512.0,1002,10,0.0001,constant_with_warmup,False,60.673099517822266,3.807485603012311,2,"[57.98, 63.37]"
facebook/bart-base,512.0,1002,10,0.0001,linear,False,58.26919937133789,0.271951697079576,2,"[58.08, 58.46]"
facebook/bart-base,512.0,1503,10,1e-05,constant_with_warmup,False,55.625,0.8838834764831844,2,"[56.25, 55.0]"
